timestamp,site_id,site_name,municipality,command_kw,actual_kw,fulfillment_rate,soc_pct,comm_status,pcs_alarm,bms_alarm,quality_flag,weather_alert,response_delay_min
2026-07-01 00:00:00,ESS-001,해남 ESS-01,해남,0,242,1.0,50.4,OK,False,False,GOOD,False,2
2026-07-01 01:00:00,ESS-001,해남 ESS-01,해남,0,73,1.0,52.0,OK,False,False,GOOD,False,0
2026-07-01 02:00:00,ESS-001,해남 ESS-01,해남,0,42,1.0,49.9,OK,False,False,GOOD,False,12
2026-07-01 03:00:00,ESS-001,해남 ESS-01,해남,0,130,1.0,49.0,OK,False,False,GOOD,True,0
2026-07-01 04:00:00,ESS-001,해남 ESS-01,해남,0,22,1.0,45.0,OK,False,False,GOOD,False,7
2026-07-01 05:00:00,ESS-001,해남 ESS-01,해남,0,192,1.0,40.3,OK,False,False,GOOD,False,7
2026-07-01 06:00:00,ESS-001,해남 ESS-01,해남,0,81,1.0,39.7,OK,False,False,GOOD,False,20
2026-07-01 07:00:00,ESS-001,해남 ESS-01,해남,0,106,1.0,43.7,OK,False,False,GOOD,False,10
2026-07-01 08:00:00,ESS-001,해남 ESS-01,해남,0,57,1.0,44.0,OK,False,False,GOOD,False,9
2026-07-01 09:00:00,ESS-001,해남 ESS-01,해남,0,79,1.0,42.7,OK,False,False,GOOD,False,4
2026-07-01 10:00:00,ESS-001,해남 ESS-01,해남,1500,1131,0.7540616249457769,37.5,OK,False,False,GOOD,False,12
2026-07-01 11:00:00,ESS-001,해남 ESS-01,해남,2500,2149,0.8596705416702832,33.8,OK,False,False,GOOD,False,13
2026-07-01 12:00:00,ESS-001,해남 ESS-01,해남,1500,1362,0.9082980510778038,36.9,OK,False,False,GOOD,False,6
2026-07-01 13:00:00,ESS-001,해남 ESS-01,해남,2500,2487,0.9948696134014913,33.0,OK,False,False,GOOD,False,7
2026-07-01 14:00:00,ESS-001,해남 ESS-01,해남,3500,2677,0.7648836865498675,28.1,OK,False,False,GOOD,False,15
2026-07-01 15:00:00,ESS-001,해남 ESS-01,해남,4500,3194,0.70987572672403,20.1,OK,False,False,GOOD,False,20
2026-07-01 16:00:00,ESS-001,해남 ESS-01,해남,0,25,1.0,20.9,OK,False,False,GOOD,False,4
2026-07-01 17:00:00,ESS-001,해남 ESS-01,해남,0,212,1.0,17.2,OK,False,False,GOOD,False,11
2026-07-01 18:00:00,ESS-001,해남 ESS-01,해남,0,157,1.0,14.6,OK,False,False,GOOD,False,14
2026-07-01 19:00:00,ESS-001,해남 ESS-01,해남,0,238,1.0,19.0,OK,False,False,BAD,False,19
2026-07-01 20:00:00,ESS-001,해남 ESS-01,해남,0,79,1.0,18.6,OK,False,False,GOOD,False,18
2026-07-01 21:00:00,ESS-001,해남 ESS-01,해남,0,185,1.0,14.9,OK,False,False,GOOD,False,11
2026-07-01 22:00:00,ESS-001,해남 ESS-01,해남,0,125,1.0,12.0,OK,False,False,GOOD,False,18
2026-07-01 23:00:00,ESS-001,해남 ESS-01,해남,0,135,1.0,15.4,OK,False,False,GOOD,False,11
2026-07-02 00:00:00,ESS-001,해남 ESS-01,해남,0,192,1.0,14.2,MISSING,False,False,MISSING,False,11
2026-07-02 01:00:00,ESS-001,해남 ESS-01,해남,0,198,1.0,10.3,OK,False,False,GOOD,False,12
2026-07-02 02:00:00,ESS-001,해남 ESS-01,해남,0,43,1.0,8.0,MISSING,False,False,MISSING,False,12
2026-07-02 03:00:00,ESS-001,해남 ESS-01,해남,0,61,1.0,6.0,OK,False,False,GOOD,False,16
2026-07-02 04:00:00,ESS-001,해남 ESS-01,해남,0,153,1.0,5.3,OK,False,False,GOOD,False,10
2026-07-02 05:00:00,ESS-001,해남 ESS-01,해남,0,146,1.0,5.7,OK,False,False,GOOD,False,15
2026-07-02 06:00:00,ESS-001,해남 ESS-01,해남,0,226,1.0,5.0,OK,False,False,GOOD,False,10
2026-07-02 07:00:00,ESS-001,해남 ESS-01,해남,0,157,1.0,5.0,OK,False,True,CHECK,False,15
2026-07-02 08:00:00,ESS-001,해남 ESS-01,해남,0,93,1.0,7.4,OK,False,False,GOOD,False,15
2026-07-02 09:00:00,ESS-001,해남 ESS-01,해남,0,80,1.0,10.9,OK,False,False,GOOD,False,20
2026-07-02 10:00:00,ESS-001,해남 ESS-01,해남,4500,2429,0.5397938876023933,8.5,OK,False,False,GOOD,False,14
2026-07-02 11:00:00,ESS-001,해남 ESS-01,해남,0,242,1.0,9.3,OK,False,False,GOOD,False,21
2026-07-02 12:00:00,ESS-001,해남 ESS-01,해남,0,58,1.0,9.5,OK,False,False,GOOD,False,21
2026-07-02 13:00:00,ESS-001,해남 ESS-01,해남,3500,1247,0.3563984866927552,7.4,OK,False,False,GOOD,False,16
2026-07-02 14:00:00,ESS-001,해남 ESS-01,해남,1500,649,0.43305676330199117,10.5,OK,False,False,GOOD,False,6
2026-07-02 15:00:00,ESS-001,해남 ESS-01,해남,1500,459,0.3062757335495802,5.0,OK,True,False,CHECK,True,12
2026-07-02 16:00:00,ESS-001,해남 ESS-01,해남,0,11,1.0,5.1,OK,False,False,GOOD,False,14
2026-07-02 17:00:00,ESS-001,해남 ESS-01,해남,0,171,1.0,8.0,OK,False,False,GOOD,False,11
2026-07-02 18:00:00,ESS-001,해남 ESS-01,해남,0,246,1.0,5.0,OK,False,False,GOOD,True,13
2026-07-02 19:00:00,ESS-001,해남 ESS-01,해남,0,203,1.0,5.0,OK,False,False,GOOD,False,17
2026-07-02 20:00:00,ESS-001,해남 ESS-01,해남,0,238,1.0,5.0,OK,False,False,GOOD,False,11
2026-07-02 21:00:00,ESS-001,해남 ESS-01,해남,0,137,1.0,6.6,OK,False,False,GOOD,False,20
2026-07-02 22:00:00,ESS-001,해남 ESS-01,해남,0,53,1.0,5.9,OK,True,False,CHECK,False,16
2026-07-02 23:00:00,ESS-001,해남 ESS-01,해남,0,237,1.0,5.0,OK,False,False,GOOD,False,6
2026-07-03 00:00:00,ESS-001,해남 ESS-01,해남,0,60,1.0,5.0,OK,False,False,GOOD,False,11
2026-07-03 01:00:00,ESS-001,해남 ESS-01,해남,0,22,1.0,5.0,OK,False,False,GOOD,False,6
2026-07-03 02:00:00,ESS-001,해남 ESS-01,해남,0,20,1.0,5.0,OK,False,False,GOOD,True,16
2026-07-03 03:00:00,ESS-001,해남 ESS-01,해남,0,186,1.0,5.0,OK,False,False,GOOD,False,14
2026-07-03 04:00:00,ESS-001,해남 ESS-01,해남,0,60,1.0,7.6,OK,False,False,GOOD,False,5
2026-07-03 05:00:00,ESS-001,해남 ESS-01,해남,0,124,1.0,5.0,OK,False,False,GOOD,False,12
2026-07-03 06:00:00,ESS-001,해남 ESS-01,해남,0,142,1.0,12.1,OK,False,False,GOOD,False,6
2026-07-03 07:00:00,ESS-001,해남 ESS-01,해남,0,245,1.0,13.8,OK,False,False,GOOD,False,6
2026-07-03 08:00:00,ESS-001,해남 ESS-01,해남,0,139,1.0,15.0,OK,False,False,GOOD,False,12
2026-07-03 09:00:00,ESS-001,해남 ESS-01,해남,0,145,1.0,16.6,OK,False,False,GOOD,False,6
2026-07-03 10:00:00,ESS-001,해남 ESS-01,해남,3500,2451,0.7005503056479218,8.6,OK,False,False,GOOD,False,14
2026-07-03 11:00:00,ESS-001,해남 ESS-01,해남,0,12,1.0,5.6,OK,False,False,GOOD,False,15
2026-07-03 12:00:00,ESS-001,해남 ESS-01,해남,0,147,1.0,7.8,OK,False,False,GOOD,False,13
2026-07-03 13:00:00,ESS-001,해남 ESS-01,해남,0,57,1.0,13.6,OK,False,False,GOOD,False,10
2026-07-03 14:00:00,ESS-001,해남 ESS-01,해남,3500,2179,0.6226406023341012,6.3,OK,False,False,GOOD,False,9
2026-07-03 15:00:00,ESS-001,해남 ESS-01,해남,0,211,1.0,5.0,MISSING,False,False,MISSING,False,7
2026-07-03 16:00:00,ESS-001,해남 ESS-01,해남,1500,962,0.6415449195201003,5.0,OK,False,True,CHECK,False,19
2026-07-03 17:00:00,ESS-001,해남 ESS-01,해남,0,25,1.0,9.7,OK,False,False,GOOD,False,11
2026-07-03 18:00:00,ESS-001,해남 ESS-01,해남,0,93,1.0,11.6,OK,False,False,GOOD,True,7
2026-07-03 19:00:00,ESS-001,해남 ESS-01,해남,0,196,1.0,10.1,OK,False,False,GOOD,False,12
2026-07-03 20:00:00,ESS-001,해남 ESS-01,해남,0,8,1.0,9.5,OK,False,False,GOOD,False,13
2026-07-03 21:00:00,ESS-001,해남 ESS-01,해남,0,128,1.0,10.5,OK,True,False,CHECK,False,15
2026-07-03 22:00:00,ESS-001,해남 ESS-01,해남,0,106,1.0,17.3,OK,False,False,GOOD,False,10
2026-07-03 23:00:00,ESS-001,해남 ESS-01,해남,0,120,1.0,20.7,OK,False,False,GOOD,False,11
2026-07-04 00:00:00,ESS-001,해남 ESS-01,해남,0,131,1.0,25.4,OK,False,False,GOOD,False,15
2026-07-04 01:00:00,ESS-001,해남 ESS-01,해남,0,201,1.0,18.9,OK,False,False,GOOD,False,21
2026-07-04 02:00:00,ESS-001,해남 ESS-01,해남,0,158,1.0,22.7,OK,False,False,GOOD,False,6
2026-07-04 03:00:00,ESS-001,해남 ESS-01,해남,0,90,1.0,24.1,OK,False,False,GOOD,False,13
2026-07-04 04:00:00,ESS-001,해남 ESS-01,해남,0,28,1.0,22.6,OK,False,False,GOOD,False,5
2026-07-04 05:00:00,ESS-001,해남 ESS-01,해남,0,161,1.0,22.8,OK,False,False,GOOD,False,19
2026-07-04 06:00:00,ESS-001,해남 ESS-01,해남,0,124,1.0,26.1,OK,False,False,GOOD,False,1
2026-07-04 07:00:00,ESS-001,해남 ESS-01,해남,0,209,1.0,27.0,OK,False,False,GOOD,False,22
2026-07-04 08:00:00,ESS-001,해남 ESS-01,해남,0,209,1.0,25.8,OK,False,False,GOOD,False,7
2026-07-04 09:00:00,ESS-001,해남 ESS-01,해남,0,134,1.0,25.4,OK,False,False,GOOD,False,0
2026-07-04 10:00:00,ESS-001,해남 ESS-01,해남,4500,3305,0.734479618317131,21.8,OK,False,False,GOOD,False,20
2026-07-04 11:00:00,ESS-001,해남 ESS-01,해남,3500,1031,0.2946341254839388,18.8,OK,True,False,CHECK,True,15
