timestamp,site_id,site_name,municipality,command_kw,actual_kw,fulfillment_rate,soc_pct,comm_status,pcs_alarm,bms_alarm,quality_flag,weather_alert,response_delay_min,low_fulfillment,soc_low,data_type
2025-03-17 00:00:00,HN-ESS-02,해남 ESS-02,해남군,0.0,0.0,1.0,21.1,OK,0,0,OK,0,0,0,0,SYNTHETIC_LOG
2025-03-17 01:00:00,HN-ESS-02,해남 ESS-02,해남군,0.0,0.0,1.0,66.9,OK,0,0,OK,0,0,0,0,SYNTHETIC_LOG
2025-03-17 02:00:00,HN-ESS-02,해남 ESS-02,해남군,0.0,0.0,1.0,51.2,OK,0,0,OK,0,0,0,0,SYNTHETIC_LOG
2025-03-17 03:00:00,HN-ESS-02,해남 ESS-02,해남군,0.0,0.0,1.0,11.9,OK,0,0,OK,0,0,0,0,SYNTHETIC_LOG
2025-03-17 04:00:00,HN-ESS-02,해남 ESS-02,해남군,0.0,0.0,1.0,32.3,OK,0,0,OK,0,0,0,0,SYNTHETIC_LOG
2025-03-17 05:00:00,HN-ESS-02,해남 ESS-02,해남군,0.0,0.0,1.0,81.3,OK,0,0,OK,0,0,0,0,SYNTHETIC_LOG
2025-03-17 06:00:00,HN-ESS-02,해남 ESS-02,해남군,0.0,0.0,1.0,5.0,OK,0,0,OK,0,0,0,0,SYNTHETIC_LOG
2025-03-17 07:00:00,HN-ESS-02,해남 ESS-02,해남군,0.0,0.0,1.0,35.6,OK,0,0,OK,0,0,0,0,SYNTHETIC_LOG
2025-03-17 08:00:00,HN-ESS-02,해남 ESS-02,해남군,0.0,0.0,1.0,72.9,OK,0,0,OK,0,0,0,0,SYNTHETIC_LOG
2025-03-17 09:00:00,HN-ESS-02,해남 ESS-02,해남군,2029.0,1609.7,0.793,25.9,OK,0,0,OK,0,6,1,0,SYNTHETIC_LOG
2025-03-17 10:00:00,HN-ESS-02,해남 ESS-02,해남군,2651.0,1856.8,0.7,12.6,OK,0,0,OK,0,10,1,1,SYNTHETIC_LOG
2025-03-17 11:00:00,HN-ESS-02,해남 ESS-02,해남군,2373.4,1789.4,0.754,35.2,OK,1,0,OK,0,18,1,0,SYNTHETIC_LOG
2025-03-17 12:00:00,HN-ESS-02,해남 ESS-02,해남군,3244.6,2316.2,0.714,35.4,OK,0,0,OK,0,18,1,0,SYNTHETIC_LOG
